
Itemset: 
{ 5  33 }	8
{ 5  39 }	7
{ 5  43 }	10
{ 5  50 }	11
{ 5  53 }	8
{ 5  57 }	13
{ 5  62 }	10
{ 5  64 }	8
{ 5  66 }	10
{ 5  70 }	7
{ 5  73 }	17
{ 5  75 }	8
{ 5  82 }	13
{ 5  84 }	14
{ 5  86 }	7
{ 5  95 }	7
{ 5  97 }	9
{ 6  15 }	8
{ 6  22 }	8
{ 6  31 }	10
{ 6  39 }	9
{ 6  40 }	7
{ 6  84 }	13
{ 7  10 }	10
{ 7  11 }	8
{ 7  12 }	11
{ 7  15 }	14
{ 7  22 }	9
{ 7  31 }	10
{ 7  33 }	9
{ 7  38 }	7
{ 7  39 }	8
{ 7  47 }	7
{ 7  50 }	8
{ 7  53 }	9
{ 7  55 }	7
{ 7  57 }	7
{ 7  62 }	10
{ 7  66 }	8
{ 7  73 }	11
{ 7  82 }	11
{ 7  83 }	8
{ 7  84 }	11
{ 7  97 }	8
{ 7  98 }	8
{ 9  22 }	9
{ 9  29 }	8
{ 9  31 }	10
{ 9  40 }	7
{ 9  73 }	9
{ 9  83 }	7
{ 9  84 }	8
{ 9  85 }	7
{ 10  11 }	8
{ 10  12 }	23
{ 10  13 }	8
{ 10  15 }	11
{ 10  17 }	9
{ 10  18 }	10
{ 10  19 }	10
{ 10  22 }	21
{ 10  23 }	12
{ 10  24 }	8
{ 10  26 }	9
{ 10  29 }	17
{ 10  30 }	7
{ 10  31 }	23
{ 10  35 }	7
{ 10  36 }	9
{ 10  39 }	9
{ 10  40 }	11
{ 10  47 }	7
{ 10  48 }	7
{ 10  49 }	10
{ 10  51 }	9
{ 10  53 }	13
{ 10  55 }	13
{ 10  57 }	22
{ 10  62 }	11
{ 10  64 }	7
{ 10  65 }	9
{ 10  66 }	13
{ 10  67 }	15
{ 10  68 }	7
{ 10  69 }	12
{ 10  73 }	19
{ 10  79 }	10
{ 10  82 }	11
{ 10  84 }	28
{ 10  85 }	8
{ 10  87 }	11
{ 10  96 }	8
{ 10  97 }	18
{ 10  98 }	19
{ 11  12 }	19
{ 11  15 }	7
{ 11  18 }	10
{ 11  19 }	11
{ 11  22 }	16
{ 11  23 }	15
{ 11  26 }	13
{ 11  29 }	9
{ 11  31 }	15
{ 11  33 }	12
{ 11  35 }	7
{ 11  49 }	8
{ 11  50 }	8
{ 11  53 }	13
{ 11  57 }	8
{ 11  62 }	7
{ 11  64 }	10
{ 11  66 }	8
{ 11  67 }	8
{ 11  69 }	8
{ 11  84 }	29
{ 11  96 }	7
{ 11  98 }	14
{ 12  13 }	14
{ 12  15 }	19
{ 12  17 }	8
{ 12  18 }	14
{ 12  19 }	10
{ 12  22 }	24
{ 12  23 }	23
{ 12  25 }	10
{ 12  26 }	18
{ 12  27 }	18
